Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,24656,26817
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),38949,42904
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1039708,1039708
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,31123,31651
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),55789,58792
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,38253,39596
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),58534,67454
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,147404,153726
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),281692,281692
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,40060,42006
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),51214,52009
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,50334,50675
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,54672,60761
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),77418,80120
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,206579,208944
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,312858,319434
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),345689,345689
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,53295,56089
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1067635,1067635
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,62090,66641
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,68697,76482
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),80652,82784
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,207717,213923
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,319923,357819
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,60536,66893
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),59143,64616
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,67056,74331
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,80188,89276
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),96425,96425
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,240707,246986
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),268204,268204
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,385906,411954
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,38582,40240
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1144009,1144009
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,46541,49925
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,56529,57956
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,195153,211158
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,321863,370573
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","CSE ( Data Science & Analytics) (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,41692,43273
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","CSE ( Data Science & Analytics) (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1043580,1043580
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","CSE ( Data Science & Analytics) (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,51210,53115
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","CSE ( Data Science & Analytics) (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,59249,64198
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","CSE ( Data Science & Analytics) (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,1190365,1190365
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","CSE ( Data Science & Analytics) (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,216615,222169
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","CSE ( Data Science & Analytics) (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,376901,380533
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,44555,46584
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,53152,54066
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,60448,64927
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,223102,233664
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,409705,415217
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,30508,30916
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,37286,37901
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,45360,46300
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,340419,348751
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (Cyber Security) (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,36394,37094
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (Cyber Security) (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,54427,55081
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (Cyber Security) (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,156895,156895
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (Data Science) (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,38678,42202
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (Data Science) (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,50708,53879
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (Data Science) (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,167104,167104
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,45591,49414
